工单号,工作要点说明,工单状态,设备编码,车型-列车号,工作班组编码,工作班组名称,工单类型,故障时间,完工时间,修理时间(分钟),计划工时,故障信息来源,系统功能,子项功能,底层功能,故障描述,故障影响,纠正措施,故障情况,处理情况,车辆原因,扣修,扣修天数,晚点分钟,中途晚点分钟,晚点有责
5999486,列车ATO模式下过冲,工作完成,12A02-1242,12A02-1242,RS-12-04,维修四部（12#）日检四组,故障修工单,2023-07-31-22.01.00,2023-08-01-22.00.00,1439,1,,控制,,,故障,不影响运营,查无原因,工作令号:十二临-2023-07-08 1242# 122521 22:01 十二号线爱国路站上行 列车ATO模式下过冲。（OA）,2023-8-1 经对车辆数据分析，列车进站前（时速4km/h以上）制动系统制正常跟随ATC需求的22.5%常用制动，制动力输出正常；列车速度低于4km/h时，在车辆准备跟随ATC需求的48.5%常用制动时，列车快速制动手动施加（快速制动持续0.3秒），列车跟随ATC常用制动被打断，并开始响应快速制动要求，但是由于快速制动施加施加过短，列车未完全发挥出快速制动力，整体制动力低于正常跟随状态下的48.5%常用制动需求制动力；在快速制动退出后，列车再次开始重新跟随ATC需求的常用制动，从20.5%制动需求开始跟随，并响应常用制动；在车辆准备跟随ATC需求的63.4%常用制动时（最后停车阶段为83%制动需求），列车快速制动再次手动施加（快速制动持续1.6秒），列车再次中断ATC常用制动，并开始响应快速制动，由于快速制动的完全响应的设计时间为1.9秒，1.6秒的快速制动未完全达到快速制动的效果。同时由于两次快速制动的施加，打断了列车跟随ATC需求的大制动，并增加了快速制动的响应时间，导致列车整体制动力不足。 综上确认列车制动系统功能正常，由于在停车区端，多次快速操作快速制动，列车在响应快速制动的时间内，错过正常跟随的大级别制动，导致列车制动力不足，并引发过冲。 2023-8-2 今日联合通号进行试车线ATO模式试车，列车状态正常。,N,N,,,,
5999630,日光灯不亮,结束,12A01-1204,12A01-1204,RS-12-04,维修四部（12#）日检四组,故障修工单,2023-07-31-21.00.00,2023-07-31-23.00.00,120,1,维修四部,辅助功能,照明设备,照明组件,36W荧光灯损坏,不影响运营,已更换,工作令号:十二日-2023-07-31 1204# 120223 M2 4门上日光灯不亮。,2023-07-31 更换日光灯灯管（短）后正常。（备件来自金桥基地自备仓库）,Y,N,,,,
5999260,摄像头无录像,结束,12A01-1233,12A01-1233,RS-12-07,维修四部（12#）检修三班,故障修工单,2023-07-31-17.30.00,2023-07-31-18.30.00,60,1,维修四部,乘客信息（PIS）,媒体播放系统,媒体控制器,失效/损坏,不影响运营,已更换,工作令号:金均2023-7-40 1233# 121953 M1车客室摄像头无录像。,2023-7-31 检查更换1个新的媒体控制器后，M1客室摄像头录像恢复正常。 JV码：12A01-F-00146-R 零部件序列号（旧件）：10179 零部件序列号（新件）：10214,Y,N,,,,
5999225,内部风扇不转,结束,12A01-1216,12A01-1216,RS-12-05,维修四部（12#）检修一班,故障修工单,2023-07-31-14.00.00,2023-07-31-15.00.00,60,1,维修四部,辅助供电,输出电路,内部风扇,损坏,,,工作令号:金均-2023-7-41 1216# 120922 PH箱MCM侧内部风扇不转。 1216# 120952 PH箱MCM侧内部风扇不转。,2023-7-31 更换两个内部风扇后正常。 JV号：12A01-F-02049,Y,N,,,,
5999201,液压减震器有磨痕,结束,12A01-1216,12A01-1216,RS-12-05,维修四部（12#）检修一班,故障修工单,2023-07-31-13.00.00,2023-07-31-14.00.00,60,1,维修四部,牵引,受流设备,,故障,不影响运营,已更换,工作令号:金均-2023-7-41 1216# 120952 受电弓液压减震器落弓时有异声减震器下侧有磨痕。,2023-7-31 更换一个液压减震器后正常。 JV号：12A01-R-00323,Y,N,,,,
5999213,空调方孔锁保护盖损坏,结束,12A03-12072,12A03-12072,RS-12-10,维修四部（12#）检修六班,故障修工单,2023-07-31-13.00.00,2023-07-31-14.00.00,60,1,维修四部,空调,顶置式空调单元,,故障,不影响运营,已更换,工作令号:金均-2023-7-75 12072# 全列车共有39个空调方孔锁保护盖损坏。,2023-7-31 更换拉紧空调方孔锁保护盖39个后，恢复正常。,Y,N,,,,
5961670,12A01均衡修7,结束,12A01-1216,12A01-1216,RS-12-05,维修四部（12#）检修一班,计划修工单,2023-07-31-12.00.00,2023-07-31-18.30.00,510,14,,,,,,,,工作令号： 金均-2023-7-41,1216#均修7按规定完成各项作业，列车上试车线正常，动调完成。 1216# 120952 受电弓液压减震器落弓时有异声减震器下侧有磨痕。详见故障报单：5999201 1216# 120922 PH箱MCM侧内部风扇不转。详见故障报单：5999225 1216# 120952 PH箱MCM侧内部风扇不转。详见故障报单：5999225 暂不领用辅料包。,N,N,,,,
5962432,12A03均衡修7,结束,12A03-12072,12A03-12072,RS-12-10,维修四部（12#）检修六班,计划修工单,2023-07-31-12.00.00,2023-07-31-19.00.00,540,14,,,,,,,,工作令号： 金均-2023-7-75,12072# 均7修按规定完成各项作业，列车上试车线正常，动调完成。 12072# 全列车共有39个空调方孔锁保护盖损坏。 详见子工单号： 5999213 暂未领用辅料包,N,N,,,,
5998818,受电弓升弓气缸泄漏,结束,12A01-1233,12A01-1233,RS-12-07,维修四部（12#）检修三班,故障修工单,2023-07-31-10.00.00,2023-07-31-11.30.00,90,1,维修四部,牵引,受流设备,升弓气缸,泄漏,不影响运营,已更换,工作令号: 金均-2023-7-40 1233# 121942 MP1 车受电弓升弓气缸缓冲调节螺丝处漏气。,2023-7-31 更换一个新的 O 型圈后恢复正常。 JV码：12A01-R-01903,Y,N,,,,
5999172,受电弓传感器坏,结束,12A01-1233,12A01-1233,RS-12-07,维修四部（12#）检修三班,故障修工单,2023-07-31-10.00.00,2023-07-31-13.00.00,180,1,维修四部,牵引,受流设备,受电弓位置传感器,损坏,不影响运营,已更换,工作令号:金均2023-7-40 1233# 121942MP1受电弓落弓位置传感器坏。,2023-7-31 更换一个新的落弓位置传感器后恢复正常。 JV码：12A01-R-00319,Y,N,,,,
