车型-列车号,故障情况,处理情况
02A05-02094,工作令号：龙均-2022-8-52 02094#026241 逃生门装饰板松动卡滞,02094#026241 逃生门装饰板松动卡滞（龙-0006785） 调整026241 逃生门装饰板安装尺寸后正常
AC17B-0281,工作令号：龙均-2022-8-38 02081#024721 逃生门手柄无法复位,02081#024721 逃生门手柄无法复位（龙-0006807） 更换024721逃生门手柄后正常（新件质保提供，坏件质保回收）
02A05-02101,工作令号：龙均-2022-8-57 02101#026731 6门无关门报警声,02101#026731 6门无关门报警声（龙-0006823） 更换026731 6门蜂鸣器后功能正常 （新件质保提供，坏件质保回收）
AC02-0207,工作令号：龙均-2022-9-6 02007#00431 右侧司机室侧门关门止挡坏,02007#00431 右侧司机室侧门关门止挡坏（龙-0007023） 更换00431 右侧司机室侧门关门止挡后正常（新件质保提供，坏件质保回收）
AC02-0207,工作令号：龙均-2022-9-6 02007#01393 7门门内指示灯(红)损坏,02007#01393 7门门内指示灯(红)损坏（龙-0007024） 更换01393 7门门内指示灯(红)后正常
AC17A-0261,工作令号：龙均-2022-9-33 02061#023572 8门红色门灯不亮,02061#023572 8门红色门灯不亮 （龙-0007039） 更换023572 8门红色门灯后正常
AC17A-0261,工作令号：龙均-2022-9-33 02061#023572 7门车门故障,02061#023572 7门车门故障（龙-0007040） 检查为EDCU坏，更换EDCU后开关门20次均正常，车况正常。 旧件序列号：10386/0853（服：5474274） 新件序列号：13691/1005
AC02-0208,工作令号：龙均-2022-9-7 00541 司机室左侧侧门门锁无法锁闭,02008#00541 司机室左侧侧门门锁无法锁闭（龙-0007070） 调整锁舌位置后正常。
AC02-0205,工作令号：龙均-2022-10-1 02005#00333 3门等门内指示灯(黄)损坏,02005#00333 3门 00342 5门8门门内指示灯(黄)损坏（龙-0007133） 更换00333 3门 00342 5门8门门内指示灯(黄)共计3个后正常
AC02-0206,工作令号：龙均-2022-10-2 02006#00382 1门等门内指示灯(黄)损坏,02006#00382 1门 00393 5门7门 00402 6门处门内指示灯(黄)损坏（龙-0007142） 更换00382 1门 00393 5门7门 00402 6门处门内指示灯(黄)共计4个后正常
AC02-0206,工作令号：龙均-2022-10-2 02006#00371 2门关门警告灯坏,02006#00371 2门关门警告灯坏（龙-0007147） 更换00371 2门关门警告灯后正常
AC08-0241,工作令号：龙均-2022-10-19 021931 022001司机室通道门解锁盖板坏,02041#021931 022001司机室通道门解锁盖板坏（龙-0007163） 更换021931 022001司机室通道门解锁盖板后正常（易损易耗不做退回）
AC08-0241,工作令号：龙均-2022-10-19 02041#021953 3门 021962 4门指示黄灯不亮,02041#021953 3门 021962 4门指示黄灯不亮（龙-0007164） 更换021953 3门 021962 4门指示黄灯后正常
02A05-02094,工作令号：龙均-2022-10-60 02094#026171 026241逃生门装饰板松动,02094#026171 026241逃生门装饰板松动（龙-0007182） 调整026171 026241逃生门装饰板后正常
AC02-0208,工作令号：龙均-2022-10-7 02008#01473 4门开门无缓冲,02008#01473 4门开门无缓冲（龙-0007260） 更换01473 4门车门大气缸后开关门测试正常（新件质保提供，坏件质保回收）
AC02-0208,工作令号：龙均-2022-10-7 02008#00513 4门气管漏气,02008#00513 4门气管漏气（龙-0007261） 重新紧固00513 4门气管后开关门测试正常
AC02-0207,工作令号：龙均-2022-11-6 00473 9门门钩位置偏移,02007#00473 9门门钩位置偏移（龙-0007361） 调整00473 9门门钩后开关门正常
AC02-0207,工作令号：龙均-2022-11-6 00481通道门故障,02007#00481通道门故障（龙-0007364） 更换00481通道门锁扣后正常（新件质保提供，坏件质保回收）
AC02-0208,工作令号：龙均-2022-11-8 00541 司机室左侧侧门有裂纹,02008#00541 司机室左侧侧门有裂纹（龙-0007434） 上车检查确认00541左侧司机室侧门锁钩处有裂纹，因现场无法修复，做更换处理。更换调试完成后多次开关门正常，现列车正常。 新件坏件厂方处理。
AC08-0240,工作令号：龙均-2022-11-23 021903 7门左右门页高度有偏差,02040#021903 7门左右门页高度有偏差（龙-0007446） 重新调整021903 7门左右门页高度尺寸后，测量正常
AC17A-0260,工作令号：龙均-2022-11-31 023462 4门等车门挂脚不好,02060#023462 4门 023512 3门 023521 2门5门车门挂脚不好（龙-0007471） 重新调整023462 4门 023512 3门 023521 2门5门车门挂脚后正常
AC17B-0281,工作令号：龙均-2022-12-3 02081#024721 逃生门疏散梯解锁装置故障,02081#024721 逃生门疏散梯解锁装置故障（龙-0007527） 更换024721 逃生门疏散梯紧急解锁组成后正常。（新件质保提供，坏件质保回收）
AC17B-0281,工作令号：龙均-2022-12-3 02081#025362 7门门切除装置故障,02081#025362 7门门切除装置故障（龙-0007528） 调整025362 7门门切除装置尺寸后，功能恢复正常
AC02-0208,工作令号：龙均-2022-12-8 00491 10门门钩与门钩销有干涉,02008#00491 10门门钩与门钩销有干涉（龙-0007560） 更换车门门钩后正常。 零部件名称：门钩
02A05-02106,工作令号：龙均-2022-12-77 027201 逃生门锁闭机构故障,02106#027201 逃生门锁闭机构故障（龙-0007617） 逃生门回收带卡滞，调整后功能测试正常。
02A05-02086,工作令号：龙均-2023-1-54 025531 右侧司机室侧门门吸松动,02086#025531 右侧司机室侧门门吸松动（龙-0007664） 025531 右侧司机室侧门门吸重新紧固后正常
02A05-02086,工作令号：龙均-2023-1-54 025573 4门显示器背后线与车门有干涉,02086#025573 4门显示器背后线与车门有干涉（龙-0007665） 重新用扎带供电线束后正常。
AC02-0208,工作令号：龙均-2023-1-9 01462 9门S1开关松动,02008#01462 9门S1开关松动（龙-0007717） 01462 9门S1开关重新调整尺寸，紧固后开关门测试正常
