"工单号","工作要点说明","工单状态","设备编码","车型-列车号","工作班组编码","工作班组名称","工单类型","故障时间","完工时间","修理时间(分钟)","计划工时","故障信息来源","系统功能","子项功能","底层功能","故障描述","故障影响","纠正措施","故障情况","处理情况","车辆原因","扣修","扣修天数","晚点分钟","中途晚点分钟","晚点有责"
5393438,0409#架修借用工单,工作完成,AC05-0409,AC05-0409,RS-04,维修二部（4#）,故障修工单,2022-08-01-09.00.00,2023-02-19-19.30.00,291510,0,,其他,,,故障,,,工作令号：蒲架（04A01）-2022-1-1,按规程完成均衡修作业。（检修二班）,N,N,,,,
5403974,列车号错误，申请取消工单,工作请求,04A02-0455,04A02-0455,RS-04,维修二部（4#）,故障修工单,2022-08-06-10.00.00,,,0,维修二部,乘客信息（PIS）,,,故障,,,列车号错误，申请取消工单,列车号错误，申请取消工单,N,N,,,,
5522019,3/4号线ATO模式继电器回路整改,结束,04A02-0436,04A02-0436,RS-04,维修二部（4#）,故障修工单,2022-10-30-00.00.00,2022-10-31-11.00.00,60,1,,,,,,,,工作令号：整（04A02）-2022-10-13 436#ATO模式继电器回路整改,按技术要求完成436#ATO模式继电器回路整改。（日检四班）,N,N,,,,
5523920,3/4号线ATO模式继电器回路整改,结束,04A02-0429,04A02-0429,RS-04,维修二部（4#）,故障修工单,2022-10-30-00.00.00,2022-11-06-11.00.00,60,1,,,,,,,,工作令号：整（04A02）-2022-10-13 429#ATO模式继电器回路整改,按技术要求完成429#ATO模式继电器回路整改。（日检一班）,N,N,,,,
5523921,3/4号线ATO模式继电器回路整改,结束,04A02-0430,04A02-0430,RS-04,维修二部（4#）,故障修工单,2022-10-30-00.00.00,2022-11-06-11.00.00,60,1,,,,,,,,工作令号：整（04A02）-2022-10-13 430#ATO模式继电器回路整改,按技术要求完成430#ATO模式继电器回路整改。（日检一班）,N,N,,,,
5523922,3/4号线ATO模式继电器回路整改,结束,04A02-0431,04A02-0431,RS-04,维修二部（4#）,故障修工单,2022-10-30-00.00.00,2022-11-06-11.00.00,60,1,,,,,,,,工作令号：整（04A02）-2022-10-13 431#ATO模式继电器回路整改,按技术要求完成431#ATO模式继电器回路整改。（日检一班）,N,N,,,,
5523923,3/4号线ATO模式继电器回路整改,结束,04A02-0432,04A02-0432,RS-04,维修二部（4#）,故障修工单,2022-10-30-00.00.00,2022-11-11-11.00.00,60,1,,,,,,,,工作令号：整（04A02）-2022-10-13 432#ATO模式继电器回路整改,按技术要求完成整改（日检二班）,N,N,,,,
5523924,3/4号线ATO模式继电器回路整改,结束,04A02-0433,04A02-0433,RS-04,维修二部（4#）,故障修工单,2022-10-30-00.00.00,2022-11-06-11.00.00,60,1,,,,,,,,工作令号：整（04A02）-2022-10-13 433#ATO模式继电器回路整改,按技术要求完成433#ATO模式继电器回路整改。（日检一班）,N,N,,,,
5523925,3/4号线ATO模式继电器回路整改,结束,04A02-0434,04A02-0434,RS-04,维修二部（4#）,故障修工单,2022-10-30-00.00.00,2022-11-11-12.00.00,60,1,,,,,,,,工作令号：整（04A02）-2022-10-13 434#ATO模式继电器回路整改,按技术要求完成整改（日检二班）,N,N,,,,
5523926,3/4号线ATO模式继电器回路整改,结束,04A02-0435,04A02-0435,RS-04,维修二部（4#）,故障修工单,2022-10-30-00.00.00,2022-11-06-11.00.00,60,1,,,,,,,,工作令号：整（04A02）-2022-10-13 435#ATO模式继电器回路整改,按技术要求完成435#ATO模式继电器回路整改。（日检一班）,N,N,,,,
5523927,3/4号线ATO模式继电器回路整改,结束,04A02-0450,04A02-0450,RS-04,维修二部（4#）,故障修工单,2022-10-30-00.00.00,2022-11-06-11.00.00,60,1,,,,,,,,工作令号：整（04A02）-2022-10-13 450#ATO模式继电器回路整改,按技术要求完成450#ATO模式继电器回路整改。（日检一班）,N,N,,,,
5523928,3/4号线ATO模式继电器回路整改,结束,04A02-0451,04A02-0451,RS-04,维修二部（4#）,故障修工单,2022-10-30-00.00.00,2022-11-06-11.00.00,60,1,,,,,,,,工作令号：整（04A02）-2022-10-13 451#ATO模式继电器回路整改,按技术要求完成451#ATO模式继电器回路整改。（日检一班）,N,N,,,,
